post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
IG0018929,2025-08-24,Video,195677.0,2796.0,1083.0,13053.0,868283.0,1045558.0,1376.0,12.0,840.0,Home Feed,20.33,Technology
IG0008271,2025-05-19,Reel,178256.0,7181.0,2344.0,7672.0,1372741.0,1608727.0,1425.0,0.0,957.0,profile,12.15,Fashion
IG0011622,2025-01-31,Photo,181774.0,8544.0,4395.0,3960.0,595469.0,756588.0,1575.0,9.0,468.0,Reels Feed,26.26,Lifestyle
IG0022342,2025-01-04,Photo,7543.0,4043.0,2508.5,1472.0,1837893.0,2255565.0,1100.0,20.0,40.0,Explore,0.69,Photography
IG0009988,2025-09-17,Photo,38122.0,4061.0,4930.0,11498.0,1496253.0,1730399.0,829.0,27.0,757.0,Home Feed,8.54,Photography
IG0005716,2025-09-25,Video,127129.0,1107.0,960.0,2693.0,1043666.0,1429568.0,1901.0,4.0,488.0,external,9.23,Technology
IG0002389,2025-04-27,Video,135798.0,6707.0,4820.0,5333.0,1941608.0,2153587.0,1605.0,8.0,493.0,external,7.09,Photography
IG0004904,2025-02-16,Video,169743.0,1310.0,3881.0,3860.0,1802687.0,1887027.0,1998.0,13.0,376.0,Hashtags,9.47,beauty
IG0008972,2025-02-23,Video,83765.0,8541.0,940.0,7480.0,150755.0,343472.0,419.0,25.0,591.0,Home Feed,29.31,Food
IG0017847,2025-09-17,Photo,144318.0,7223.0,3657.0,7843.0,1136674.0,1331008.0,360.0,25.0,568.0,Hashtags,12.25,Comedy
IG0026694,2024-11-30,Video,171899.0,13.0,3885.0,13165.0,1095822.0,1406536.0,1278.0,28.0,1000.0,Home Feed,13.43,Photography
IG0017496,2024-12-06,Reel,78942.0,8043.0,2314.0,17.0,1488198.0,1845394.0,1100.0,24.0,237.0,Reels Feed,4.84,Food
IG0013299,2024-11-19,Reel,68515.0,254.0,2508.5,14999.0,241329.0,564933.0,518.0,3.0,335.0,external,15.07,beauty
IG0015874,2025-11-13,Carousel,76658.0,6616.0,1849.0,3902.0,1350506.0,1788173.0,905.0,3.0,329.0,external,4.98,fitness
IG0022066,2025-02-04,Photo,18444.0,1053.0,2462.0,8584.0,719725.0,985976.0,247.0,11.0,260.0,Reels Feed,3.1,Lifestyle
IG0014768,2025-10-27,Carousel,126591.0,8130.0,3077.0,2199.0,1100410.0,1253081.0,1338.0,8.0,140.0,profile,8.54,beauty
IG0019262,2025-05-03,Reel,164175.0,4632.0,2433.0,12937.0,481647.0,807128.0,1100.0,29.0,581.0,profile,8.54,Food
IG0014713,2025-10-28,Reel,134285.0,9685.0,2001.0,12888.0,1217157.0,1477467.0,2183.0,15.0,847.0,Explore,10.75,Fashion
IG0008378,2025-03-13,Reel,189346.0,9340.0,1631.0,14811.0,1638609.0,1928987.0,1174.0,5.0,666.0,Home Feed,11.15,Photography
IG0019884,2025-07-09,Photo,84772.0,736.0,3407.0,13222.0,433859.0,491748.0,1791.0,20.0,254.0,external,20.77,Music
IG0004986,2025-08-24,Video,84366.0,7677.0,2247.0,13558.0,1529835.0,1630653.0,351.0,17.0,699.0,Home Feed,6.61,fitness
IG0012580,2025-08-15,Photo,137084.0,7619.0,4581.0,2261.0,979536.0,1107275.0,191.0,26.0,781.0,Reels Feed,13.69,travel
IG0021669,2025-06-27,Photo,89692.0,405.0,5.0,11545.0,441487.0,692868.0,2132.0,8.0,24.0,Home Feed,14.67,Lifestyle
IG0026496,2025-07-29,Carousel,130185.0,8098.0,2508.5,13766.0,993721.0,333616.0,491.0,20.0,578.0,Hashtags,8.54,fitness
IG0012485,2025-01-02,Carousel,12392.0,2063.0,4852.0,1366.0,736337.0,1082285.0,651.0,18.0,416.0,external,1.91,beauty
IG0007114,2025-06-24,Reel,198719.0,7570.0,3765.0,202.0,993721.0,1679767.0,1657.0,9.0,902.0,Reels Feed,8.54,travel
IG0028582,2025-09-25,Video,162513.0,5048.0,2508.5,11010.0,993721.0,1467781.0,464.0,9.0,292.0,Hashtags,11.95,Music
IG0022982,2025-05-19,Photo,112770.0,4392.0,2662.0,14724.0,1894587.0,2237295.0,1552.0,0.0,83.0,Home Feed,6.01,travel
IG0009768,2025-05-19,Carousel,67827.0,109.0,2986.0,7993.0,975388.0,1112372.0,1335.0,19.0,247.0,profile,8.54,Music
IG0024870,2025-08-07,Carousel,77209.0,8617.0,1520.0,7480.0,1097325.0,1474358.0,859.0,3.0,170.0,profile,5.93,Lifestyle
IG0016574,2025-09-16,Video,173316.0,1284.0,2189.0,11670.0,1540497.0,1623389.0,605.0,30.0,603.0,Hashtags,8.54,Fashion
IG0012362,2025-03-02,Video,128009.0,7890.0,972.0,7480.0,79086.0,231145.0,1961.0,1.0,639.0,Reels Feed,8.54,beauty
IG0026593,2025-08-28,Photo,123483.0,2327.0,3136.0,6510.0,1004951.0,1045948.0,1284.0,15.0,178.0,Hashtags,12.95,Comedy
IG0006333,2025-08-14,Reel,11320.0,806.0,1019.0,12217.0,526117.0,657405.0,810.0,9.0,589.0,Home Feed,3.86,beauty
IG0012024,2025-06-15,Reel,149386.0,5218.0,1613.0,1378.0,752980.0,918275.0,582.0,2.0,475.0,profile,17.16,Music
IG0014000,2025-02-17,Carousel,168114.0,8362.0,2508.5,1335.0,1677139.0,1886195.0,256.0,25.0,867.0,Hashtags,9.56,beauty
IG0023809,2025-02-04,Video,140928.0,484.0,2508.5,9377.0,268594.0,680860.0,840.0,14.0,554.0,Home Feed,22.58,Technology
